"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
LTTS,L&T Technology Services Limited,7(2),ANKOOR BAXI,Director,Equity Shares,1044,0,,198,1066725,Sell,Equity Shares,846,0,20-Aug-24,21-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 17:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168921_1229866_21082024053328_WEB.xml
LTTS,L&T Technology Services Limited,7(2),ABHISHEK SINHA,Director,Equity Shares,6000,0,,6000,31704300,Sell,Equity Shares,Nil,0,20-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 17:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168921_1229866_21082024053328_WEB.xml
ENTERO,Entero Healthcare Solutions Limited,7(2),Abhitesh Kumar,-,Equity Shares,14671,0.03,,1200,1539261,Sell,Equity Shares,13471,0.03,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,21-08-2024 17:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168918_1229850_21082024051454_WEB.xml
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Manians Family Trust,-,Equity Shares,45000,0,,45000,81154910,Sell,Equity Shares,Nil,0,20-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 17:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168916_1229846_21082024050939_WEB.xml
NATCOPHARM,Natco Pharma Limited,7(2),ANILA T,Promoter Group,Equity Shares,599920,0.33,,35000,50311107,Sell,Equity Shares,564920,0.32,20-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 17:04,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168914_1229837_21082024050447_WEB.xml
NATCOPHARM,Natco Pharma Limited,7(2),VIDYADHARI TUMMALA,Promoter Group,Equity Shares,442200,0.25,,75000,109406211,Sell,Equity Shares,367200,0.21,19-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 17:04,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168914_1229837_21082024050447_WEB.xml
NATCOPHARM,Natco Pharma Limited,7(2),RATNAKUMAR K,Promoter Group,Equity Shares,88437,0.05,,38437,56136647,Sell,Equity Shares,50000,0.03,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 17:04,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168914_1229837_21082024050447_WEB.xml
NATCOPHARM,Natco Pharma Limited,7(2),RATNAKUMAR K,Promoter Group,Equity Shares,100000,0.06,,11563,16887583,Sell,Equity Shares,88437,0.05,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,21-08-2024 17:04,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168914_1229837_21082024050447_WEB.xml
CREST,Crest Ventures Limited,7(3),Vikram Kotak,-,Equity Shares,570000,2,,24400,11343911,Sell,Equity Shares,545600,1.92,19-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 16:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168912_1229797_21082024041839_WEB.xml
DIAMONDYD,Prataap Snacks Limited,7(2),Rajesh Kumar Mehta,Promoters,Equity Shares,147411,0.62,,147411,127572467,Sell,Equity Shares,Nil,0,20-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 16:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168910_1229789_21082024040054_WEB.xml
DIAMONDYD,Prataap Snacks Limited,7(2),Rajesh Kumar Mehta,Promoters,Equity Shares,332411,1.39,,185000,158429423,Sell,Equity Shares,147411,0.62,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 16:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168910_1229789_21082024040054_WEB.xml
DIAMONDYD,Prataap Snacks Limited,7(2),Arvind Kumar Mehta,Promoters,Equity Shares,262784,1.1,,65000,57895960,Sell,Equity Shares,197784,0.83,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 16:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168910_1229789_21082024040054_WEB.xml
PANACEABIO,Panacea Biotec Limited,7(2),Sandeep Jain,Promoters,Equity Shares,9931126,16.21,,7400,1340547,Sell,Equity Shares,9923726,16.2,19-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168908_1229785_21082024035825_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Hitesh Oberoi,Promoters,Equity Shares,6482863,5.01,,40060,296590620,Sell,Equity Shares,6442803,4.98,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168906_1229781_21082024035535_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Amit Kumar,Employees/Designated Employees,Equity Shares,99,0,,65,480025,Sell,Equity Shares,34,0,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168906_1229781_21082024035535_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Navin Kumar,Other,Equity Shares,500,0,,500,3580917,Sell,Equity Shares,Nil,0,06-Aug-24,09-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168906_1229781_21082024035535_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Endeavour Holding Trust,Promoter Group,Equity Shares,8140649,6.29,,38973,288472690,Sell,Equity Shares,8101676,6.26,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168906_1229781_21082024035535_WEB.xml
UTIAMC,UTI Asset Management Company Limited,7(2),Ravi Gupta,Employees/Designated Employees,Equity Shares,878,0,,700,728735,Buy,Equity Shares,1578,0,18-Jul-24,18-Jul-24,21-Aug-24,ESOP,-,-,0,0,0,0,NA,-,21-08-2024 15:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168904_1229773_21082024035314_WEB.xml
UTIAMC,UTI Asset Management Company Limited,7(2),Ravi Gupta,Employees/Designated Employees,Equity Shares,1578,0,,700,741617,Sell,Equity Shares,878,0,16-Aug-24,16-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168904_1229773_21082024035314_WEB.xml
TEJASNET,Tejas Networks Limited,7(2),GAJENDRA SINGH RANKA,Employees/Designated Employees,Equity Shares,48611,0.02,,1000,1197815,Sell,Equity Shares,47611,0.02,14-Aug-24,14-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168901_1229750_21082024033832_WEB.xml
TEJASNET,Tejas Networks Limited,7(2),Subashish Gosh,Employees/Designated Employees,Equity Shares,2025,0.01,,895,1089167,Sell,Equity Shares,1130,0,16-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,21-08-2024 15:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168901_1229750_21082024033832_WEB.xml
TEJASNET,Tejas Networks Limited,7(2),Chhabinarayan Pal,Employees/Designated Employees,Equity Shares,17825,0.01,,825,1000209,Sell,Equity Shares,17000,0.01,13-Aug-24,13-Aug-24,14-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168901_1229750_21082024033832_WEB.xml
TDPOWERSYS,TD Power Systems Limited,7(2),Vasudeva Murthy R,Employees/Designated Employees,Equity Shares,75857,0.04,,5000,2114341,Sell,Equity Shares,70857,0.04,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 15:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168900_1229744_21082024033125_WEB.xml
SUBEXLTD,Subex Limited,7(2),Nithin Gangadharan,Employees/Designated Employees,Equity Shares,240000,0.04,,40000,1190230,Sell,Equity Shares,200000,0.04,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 14:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168897_1229713_21082024025839_WEB.xml
SUBEXLTD,Subex Limited,7(2),Nithin Gangadharan,Employees/Designated Employees,Equity Shares,200000,0.04,,60000,1828209,Sell,Equity Shares,140000,0.02,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 14:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168897_1229713_21082024025839_WEB.xml
AARVEEDEN,Aarvee Denims & Exports Limited,7(2),NIPUN V. ARORA,Promoters,Equity Shares,334899,1.42,,90000,3596441,Sell,Equity Shares,244899,1.04,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 14:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168894_1229678_21082024024240_WEB.xml
AARVEEDEN,Aarvee Denims & Exports Limited,7(2),RENU ARORA,Promoters,Equity Shares,408155,1.73,,186000,7432696,Sell,Equity Shares,222155,0.94,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 14:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168894_1229678_21082024024240_WEB.xml
AARVEEDEN,Aarvee Denims & Exports Limited,7(2),PANKAJ V. ARORA,Promoters,Equity Shares,324849,1.38,,90000,3596400,Sell,Equity Shares,234849,1,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 14:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168894_1229678_21082024024240_WEB.xml
PRAJIND,Praj Industries Limited,7(2),SIVARAMAKRISHNAN S. IYER,Other,Equity Shares,20000,0.01,,20000,14953030,Sell,Equity Shares,Nil,0,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 14:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168891_1229660_21082024022304_WEB.xml
MEGASOFT,Megasoft Limited,7(2),Ramanagaram Enterprises Private Limited,Promoters,Equity Shares,31550000,42.77,,92251,6251009,Sell,Equity Shares,31457749,42.64,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 13:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168888_1229644_21082024014703_WEB.xml
INDOAMIN,Indo Amines Limited,7(2),Pramila Nandu Gupta,Immediate relative,Equity Shares,1178874,1.67,,72000,12290400,Sell,Equity Shares,1106874,1.56,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 13:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168885_1229626_21082024011416_WEB.xml
SUBEXLTD,Subex Limited,7(2),SURAJ BALACHANDRAN,Employees/Designated Employees,Equity Shares,471013,0.08,,100000,3035000,Sell,Equity Shares,371013,0.07,20-Aug-24,20-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 12:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168882_1229616_21082024124623_WEB.xml
AIRAN,Airan Limited,7(2),SUDEEPKUMAR VISHWANATH AGRAWAL,Promoter Group,Equity Shares,100000,0.08,,25000,1060250,Sell,Equity Shares,75000,0.06,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 12:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168880_1229613_21082024124421_WEB.xml
AIRAN,Airan Limited,7(2),SUDEEPKUMAR VISHWANATH AGRAWAL,Promoter Group,Equity Shares,75000,0.06,,10000,445400,Sell,Equity Shares,65000,0.05,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 12:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168880_1229613_21082024124421_WEB.xml
COSMOFIRST,COSMO FIRST LIMITED,7(2),NEERAJ JAIN,Key Managerial Personnel,Equity Shares,17431,0.07,,7000,6583080,Sell,Equity Shares,10431,0.04,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 12:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168877_1229600_21082024123310_WEB.xml
REMUS,Remus Pharmaceuticals Limited,7(2),Renosen Pharmaceuticals Private Limited,Promoter Group,Equity Shares,50400,0.85,,2000,4552800,Buy,Equity Shares,52400,0.89,16-Aug-24,16-Aug-24,20-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,21-08-2024 11:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168875_1229570_21082024115321_WEB.xml
LAXMICOT,Laxmi Cotspin Limited,7(2),RAJESH PURANMAL BANSAL,Promoters,Equity Shares,815927,4.76,,15000,534000,Sell,Equity Shares,800927,4.67,21-Aug-24,21-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 11:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168874_1229565_21082024114432_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,690404,1.45,,4192,10948504,Buy,Equity Shares,694596,1.46,19-Aug-24,19-Aug-24,20-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,21-08-2024 11:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168872_1229558_21082024113658_WEB.xml
NILAINFRA,Nila Infrastructures Limited,7(2),RAJENDRA SHARMA,-,Equity Shares,151186,0.03,,151186,1997168,Sell,Equity Shares,Nil,0,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 11:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168869_1229547_21082024111415_WEB.xml
NILAINFRA,Nila Infrastructures Limited,7(2),MADHU SHARMA,Immediate relative,Equity Shares,338000,0.08,,193872,2586553,Sell,Equity Shares,144128,0.03,16-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 11:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168869_1229547_21082024111415_WEB.xml
REDTAPE,Redtape Limited,7(2),HAYA MIRZA,Promoter Group,Equity Shares,19500,0.01,,10600,7002572,Buy,Equity Shares,30100,0.02,19-Aug-24,19-Aug-24,20-Sep-24,Market Purchase,-,-,0,0,0,0,NSE,-,21-08-2024 10:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168866_1229531_21082024103100_WEB.xml
MANAPPURAM,Manappuram Finance Limited,7(2),MANOJKUMAR V R,Key Managerial Personnel,Equity Shares,20000,0,,20000,4080000,Sell,Equity Shares,Nil,0,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 10:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168864_1229524_21082024102115_WEB.xml
REDTAPE,Redtape Limited,7(2),FAUZIA MIRZA,Promoter Group,Equity Shares,50000,0.04,,5000,3283450,Buy,Equity Shares,55000,0.04,19-Aug-24,19-Aug-24,20-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,21-08-2024 10:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168862_1229521_21082024101217_WEB.xml
MANINFRA,Man Infraconstruction Limited,7(2),Mansi P. Shah,Promoters,Equity Shares,59421369,16.01,,50000,9616000,Buy,Equity Shares,59471369,16.02,20-Aug-24,20-Aug-24,21-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,21-08-2024 09:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168859_1229513_21082024092417_WEB.xml
LTTS,L&T Technology Services Limited,7(2),JAGYAN PRAKASH MISHRA,Employees/Designated Employees,Equity Shares,3256,0,,1756,9388050,Sell,Equity Shares,1500,0,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 09:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168857_1229510_21082024090142_WEB.xml
LTTS,L&T Technology Services Limited,7(2),ANKOOR BAXI,Employees/Designated Employees,Equity Shares,1242,0,,198,1046925,Sell,Equity Shares,1044,0,19-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,21-08-2024 09:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168857_1229510_21082024090142_WEB.xml
LTTS,L&T Technology Services Limited,7(2),JAGYAN PRAKASH MISHRA,Employees/Designated Employees,Equity Shares,3256,0,,500,2634830,Pledge Revoke,Equity Shares,3256,0,19-Aug-24,19-Aug-24,19-Aug-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,21-08-2024 09:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168857_1229510_21082024090142_WEB.xml
LTIM,LTIMindtree Limited,7(2),Rajesh Kumar R,Employees/Designated Employees,Equity Shares,3500,0,,1796,17960,Buy,Equity Shares,5296,0,12-Aug-24,12-Aug-24,18-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 23:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168854_1229498_20082024112047_WEB.xml
LTIM,LTIMindtree Limited,7(2),Rajesh Kumar R,Employees/Designated Employees,Equity Shares,5296,0,,704,3784000,Sell,Equity Shares,4592,0,14-Aug-24,14-Aug-24,18-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168854_1229498_20082024112047_WEB.xml
LTIM,LTIMindtree Limited,7(2),SRINIVASA RAGHAVAN PARTHASARATHI,Employees/Designated Employees,Equity Shares,1395,0,,686,6860,Buy,Equity Shares,2081,0,09-Aug-24,09-Aug-24,18-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 23:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168854_1229498_20082024112047_WEB.xml
LTIM,LTIMindtree Limited,7(2),SRINIVASA RAGHAVAN PARTHASARATHI,Employees/Designated Employees,Equity Shares,2081,0,,271,1456625,Sell,Equity Shares,1810,0,14-Aug-24,14-Aug-24,18-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168854_1229498_20082024112047_WEB.xml
LTIM,LTIMindtree Limited,7(2),NIKHIL BALKRISHNA DATAR,Employees/Designated Employees,Equity Shares,3294,0,,1438,14380,Buy,Equity Shares,4732,0,09-Aug-24,09-Aug-24,18-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 23:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168854_1229498_20082024112047_WEB.xml
LTIM,LTIMindtree Limited,7(2),NIKHIL BALKRISHNA DATAR,Employees/Designated Employees,Equity Shares,4732,0,,567,3047625,Sell,Equity Shares,4165,0,14-Aug-24,14-Aug-24,18-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168854_1229498_20082024112047_WEB.xml
METROPOLIS,Metropolis Healthcare Limited,7(2),Sushil Kanubhai Shah,Promoters,Equity Shares,1217058,2.38,,25000,53306973,Sell,Equity Shares,1192058,2.33,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168852_1229490_20082024110515_WEB.xml
METROPOLIS,Metropolis Healthcare Limited,7(2),Sushil Kanubhai Shah,Promoters,Equity Shares,1257058,2.45,,40000,82370764,Sell,Equity Shares,1217058,2.38,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168852_1229490_20082024110515_WEB.xml
LTIM,LTIMindtree Limited,7(2),Jignesh Naresh Jariwala,Employees/Designated Employees,Equity Shares,11000,0,,500,2700500,Sell,Equity Shares,10500,0,14-Aug-24,14-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168851_1229487_20082024110201_WEB.xml
LTIM,LTIMindtree Limited,7(2),Jignesh Naresh Jariwala,Employees/Designated Employees,Equity Shares,10500,0,,500,2783500,Sell,Equity Shares,10000,0,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168851_1229487_20082024110201_WEB.xml
LTIM,LTIMindtree Limited,7(2),Jignesh Naresh Jariwala,Employees/Designated Employees,Equity Shares,10000,0,,500,2836500,Sell,Equity Shares,9500,0,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 23:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168851_1229487_20082024110201_WEB.xml
ENTERO,Entero Healthcare Solutions Limited,7(2),-,Employees/Designated Employees,Equity Shares,14671,0.03,,1200,1539261,Sell,Equity Shares,13471,0.03,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,20-08-2024 21:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168849_1229473_20082024093652_WEB.xml
JUBLINGREA,Jubilant Ingrevia Limited,7(2),Jubilant Ingrevia Employees Welfare Trust,Other,Equity Shares,1288181,0.81,,30237,19791628,Sell,Equity Shares,1257944,0.79,14-Aug-24,14-Aug-24,16-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 20:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168845_1229453_20082024080551_WEB.xml
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Suresh Amin,Employees/Designated Employees,Equity Shares,1640,0,,696,1378475,Pledge Revoke,Equity Shares,1640,0,14-Aug-24,16-Aug-24,19-Aug-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,20-08-2024 19:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168843_1229448_20082024074900_WEB.xml
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Suresh Amin,Employees/Designated Employees,Equity Shares,1640,0,,696,1378475,Sell,Equity Shares,944,0,14-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 19:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168843_1229448_20082024074900_WEB.xml
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Jason Nestor Vincent D'Souza,Employees/Designated Employees,Equity Shares,6000,0,,6000,11700000,Pledge,Equity Shares,6000,0,20-Aug-24,20-Aug-24,20-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 19:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168843_1229448_20082024074900_WEB.xml
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Sushree Mishra,Employees/Designated Employees,Equity Shares,3700,0,,3700,7215000,Pledge,Equity Shares,3700,0,20-Aug-24,20-Aug-24,20-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 19:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168843_1229448_20082024074900_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Ramachandran Sundararajan,-,Equity Shares,70744,0,,18000,29696740,Sell,Equity Shares,52744,0,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 19:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168841_1229428_20082024070316_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Anup Dutta,-,Equity Shares,29000,0,,1500,2491245,Sell,Equity Shares,27500,0,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 19:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168841_1229428_20082024070316_WEB.xml
SMCGLOBAL,Smc Global Securities Limited,7(2),Pravin Kumar Agarwal,-,Equity Shares,1000,0,,10000,1499621,Buy,Equity Shares,11000,0.01,20-Aug-24,20-Aug-24,20-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 18:49,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168837_1229403_20082024064958_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),KARUNAKAR REDDY BADDAM,Promoters,Equity Shares,168922900,55.12,,1500000,164805000,Pledge,Equity Shares,168922900,55.12,17-Aug-24,17-Aug-24,19-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168835_1229398_20082024064805_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,3117733,0.18,,56539,565390,Sell,Equity Shares,3061194,0.18,14-Aug-24,14-Aug-24,19-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168833_1229386_20082024064205_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,3061194,0.18,,11408,7537452,Sell,Equity Shares,3049786,0.17,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168833_1229386_20082024064205_WEB.xml
