Name,NSE Symbol,BSE Code,_id,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,Strength Vs Nifty 500 Monthly,SMA 20D,EV To EBITDA,Fixed Assets 3 Years Back,52WH Distance,52WL,Strength Vs Nifty 500 Weekly,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Fixed Assets Latest Year
GKW Ltd,GKWLIMITED,null,GKWLIMITED,1802,3019.5,Finance - Investment / Others,Finance,152,46,32.9,-19.6,158,4.35,-8.7,-20.4,31.2,113,14,3405,95.1,16,26.1,914.95,65,0,0,0,0,75,0,0.81,-8.81,2557
GMM Pfaudler Ltd,GMMPFAUDLR,505255,GMMPFAUDLR,6382,1419.65,Engineering - Heavy - Glass-lined Equipment,Capital Goods-Non Electrical Equipment,40.8,1.92,-0.95,-24.1,-16.8,6.6,0.94,10.4,4.74,13.7,-17,1381,15.3,1043,25.2,1214.5,-76,0.94,1.21,5.68,3.36,25.2,-13.6,18.7,-23.9,1233
GMR Airports Infrastructure Ltd,GMRINFRA,532754,GMRINFRA,102559,97.13,Engineering - Turnkey Services,Infrastructure Developers & Operators,null,11.2,26,-66.5,-101,-48.1,6.87,1.31,3.42,25.7,14,94.3,35.1,12238,6.38,54,65,-16.6,28,1.33,-2.17,59.1,0,5.36,-33.9,28737
GMR Power & Urban Infra Ltd,GMRP&UI,543490,GMRP&UI,10174,142.32,Engineering - Turnkey Services,Infrastructure Developers & Operators,null,2.04,-10.7,102,699,-8.84,2.32,36.3,74.5,222,11,134,6.3,2611,7.9,31.05,53,-4.76,-6.4,-0.03,-19.3,59.8,0,7.86,52,10598
GNA Axles Ltd,GNA,540124,GNA,1893,441,Auto Ancillaries - Axles / Shafts,Auto Ancillaries,20,1.24,-3.16,-30.4,65.8,2.36,1.6,8.71,8.43,11.4,-7,434,10.5,295,15,384.15,-32,0.24,0.33,-0.09,-0.77,68.2,0.02,14.8,-30.1,344
GOCL Corporation Ltd,GOCLCORP,506480,GOCLCORP,2179,439.6,Industrial Explosives,Chemicals,27.8,3.15,-21.6,-26.4,634,1.54,-5.29,0.06,1.27,6.54,-1,467,13,80.3,31.4,378.4,-10,0.84,0.96,-0.01,-3.32,72.8,-1.01,8.07,-9.56,81.1
GP Petroleums Ltd,GULFPETRO,532543,GULFPETRO,427,83.72,Lubricants,Chemicals,14.6,0.66,-13.9,59.2,-12.7,1.41,-4.48,25.7,25.1,29.9,9,79.6,10.2,67.3,9.73,44.75,37,0.06,0.52,0,0.26,53.4,-10,11.7,54.1,73
GPT Healthcare Ltd,GPTHEALTH,544131,GPTHEALTH,1559,190,Hospitals / Medical Services,Healthcare,32.6,3.88,9.24,31.3,-22.3,7.14,6.07,11.4,23.1,28.4,null,186,16.9,220,13.6,141.8,null,0.14,0.8,null,null,65.6,null,28.9,15.3,224
GPT Infraprojects Ltd,GPTINFRA,533761,GPTINFRA,2020,159.86,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,32.9,1.97,19.5,74.3,7.56,4.23,1.06,-12.3,20.8,96.1,15,172,16.5,108,21.6,45.63,69,0.63,1.11,2.26,0.84,75,0,21.5,87.9,135
GRM Overseas Ltd,GRMOVER,531449,GRMOVER,1664,277.4,Food - Proccesing - Rice,FMCG,27.2,1.22,-1.45,-1.13,-14.9,5.06,9.75,12.7,61.8,127,0,262,18.5,36,3.89,124.5,0,1.19,1.39,0,0.67,72.3,0.57,14,-4.57,37
GRP Ltd,GRPLTD,509152,GRPLTD,1797,3369.8,Rubber - Products,Plantation & Plantation Products,66.9,3.68,14.6,68.9,-62.6,10.8,-3,-22.4,28.6,131,31,3684,34.6,109,30,956.5,140,0.68,0.55,0,0,40.3,-0.2,13.4,128,159
GSS Infotech Ltd,GSS,532951,GSS,208,79.7,Computers - Software - Medium / Small,IT - Software,21.3,2.32,-12,-4.02,-98.5,0.59,-0.13,-5.32,-19.3,-39.3,-15,79.8,14.3,115,64.9,79.95,-71,0,0,-0.66,-3.42,12.7,-6.92,2.86,-6.09,414
GTL Infrastructure Ltd,GTLINFRA,532775,GTLINFRA,3189,2.49,Telecommunications - Equipment - Large,Telecomm Equipment & Infra Services,null,2.36,-6.76,52.4,5.9,-0.6,4.62,-9.12,16.4,46.5,7,2.64,22.2,5483,42.5,0.95,36,-0.77,-0.57,-3.28,0.04,3.28,0,-10.7,27.4,2978
GTL Ltd,GTL,500160,GTL,221,14.05,Telecommunications - Service Provider,Telecomm-Service,4.84,1.01,18.4,4096,-90.5,-0.03,5.4,0.64,17.6,26.6,7,14.3,21.8,72.9,27.8,7.25,0,-0.96,-0.98,-1.03,0.03,14.3,0,-28,1047,30
GTPL Hathway Ltd,GTPL,540602,GTPL,1974,175.49,Entertainment - Electronic Media,Entertainment,23.1,0.6,16.9,-18.2,-6.6,1.7,4.15,10.8,3.11,6.94,-1,167,4,1393,19.4,157.6,-8,0.25,0.17,-0.01,0.08,75,0,11.9,-26.9,2029
GVK Power & Infrastructure Ltd,GVKPIL,532708,GVKPIL,1105,7,Engineering - Turnkey Services,Infrastructure Developers & Operators,null,1.37,-59.7,-102,103,-0.93,9.89,48.6,-38.2,-31.4,0,5.88,7.13,12309,58.8,4.62,-5,-3.89,-68.6,0,0.54,54.3,0,21.9,-107,3745
GVP Infotech Ltd,GVPTECH,null,GVPTECH,212,12.99,Computers - Software - Medium / Small,IT - Software,76.4,9.06,-24.5,-45.8,-95.8,1.25,7.62,6.74,-6.95,15,-11,12.7,65.4,1.99,22,10.25,-50,0,0.06,0,0,89,-1.96,1.77,-45.7,1.11
Gabriel India Ltd,GABRIEL,505714,GABRIEL,7679,534.6,Auto Ancillaries - Shock Absorbers,Auto Ancillaries,39.6,2.26,11.3,36.6,-2.94,7.62,4.81,9.54,29.1,73.8,21,530,23.2,351,4.46,315.5,97,0.01,0.02,1.16,2.23,55,0,25.1,36.6,428
Galaxy Bearings Ltd,null,526073,526073,444,1397.4,Bearings - Medium / Small,Bearings,23.8,3.67,-6.92,2.75,-45.8,4.77,-0.42,-0.4,-2.09,-1.03,-4,1406,16.1,8.26,22.4,1398.5,-15,0.17,0.07,0,0.12,55,0,23.7,4.51,11.7
Galaxy Surfactants Ltd,GALAXYSURF,540935,GALAXYSURF,11676,3293.3,Chemicals - Speciality - Large,Chemicals,38.2,3.05,-9.7,-14,2.86,5.35,7.69,17.7,23.3,44.1,-29,2966,21.3,712,1.1,2293,-104,0.09,0.22,0.56,0.88,70.9,-0.01,16.8,-15.2,973
Gallantt Ispat Ltd,GALLANTT,532726,GALLANTT,9171,380.1,Steel - Medium / Small,Steel,29,2.11,6.93,115,27.8,3.73,2.29,11.1,20.3,97.5,13,373,16,198,4.46,84.5,59,0.19,0.14,0,0.15,68.9,0.15,11.6,90.7,1894
Gandhar Oil Refinery (India) Ltd,GANDHAR,544029,GANDHAR,2135,218.19,Refineries,Refineries,16.9,0.53,-0.02,-26.9,170,1.82,1.52,5.16,1.8,-0.35,null,219,7.85,85.8,36.6,195,null,0.23,0.2,2.64,0.18,64.6,-22.9,18.6,-23.5,360
Gandhi Special Tubes Ltd,GANDHITUBE,513108,GANDHITUBE,914,752,Steel - Seamless Tubes,Steel,16.9,5.54,-2.94,5.87,7.19,4.11,-1.85,-3.81,-6.7,3.29,-1,778,12.5,45.4,19.6,679.35,-9,0,0,0,-0.06,73.5,0,32.9,5.93,42.7
Ganesh Benzoplast Ltd,GANESHBE,500153,GANESHBE,1127,156.49,Miscellaneous - Medium / Small,Miscellaneous,18,2.54,-1.77,7.03,15,2.25,-3.29,-0.14,-0.92,-12.5,-6,164,10.2,232,27.9,139.95,-30,0.11,0.25,0.01,2.32,39,-3.79,15.9,7.99,335
Ganesh Green Bharat Ltd,GGBL,null,GGBL,1070,431.3,Engineering - Turnkey Services,Infrastructure Developers & Operators,53.8,6.29,null,null,123,5.86,1.16,-12.9,null,null,null,449,30.2,null,26.6,379.05,null,0.94,null,null,null,null,null,30.4,null,20.8
Ganesh Housing Corporation Ltd,GANESHHOUC,526367,GANESHHOUC,6762,810.95,Construction - Factories / Offices / Commercial,Construction,16.4,8.09,-0.95,65.2,0.92,5.1,-0.15,-7.29,-17.9,16.4,7,840,11.7,208,26.9,373.2,34,0.02,0.69,0.05,0.36,73.1,0,39.5,28,438
Ganesha Ecosphere Ltd,GANECOS,514167,GANECOS,4823,1902.8,Textiles - Texturising,Textiles,81,4,5.61,0.17,4.4,4.76,-3.1,7.27,52.1,103,1,1894,29.3,311,7.16,836,10,0.38,0.25,3.09,8.04,36.4,-5.87,7.04,3.44,771
Garden Reach Shipbuilders & Engineers Ltd,GRSE,542011,GRSE,20064,1751.55,Ship - Breaking / Repairing,Aerospace & Defence,54.6,5.22,40.5,44.3,-21.9,12,-2.02,-10.9,7.46,130,29,1803,30.6,340,38.2,721.95,128,0.04,0,-4.26,0.8,74.5,0,28.2,44,493
Garnet International Ltd,null,512493,512493,222,113,NBFC-Others,Finance,491,4.7,-9.75,-374,115,8.13,-0.88,-12.3,140,103,1,123,-73.7,10.8,17.1,40.38,10,0.18,0.17,0,0,50.6,2.71,-1.56,-314,0.01
Garware Hi Tech Films Ltd,GRWRHITECH,500655,GRWRHITECH,7553,3251.05,Packaging - Polyester Film,Packaging,30.4,4.26,22.4,50.3,52.8,3.69,-1.26,0.62,49.2,97.6,12,3294,19.7,1329,9.44,1277.6,58,0.01,0.06,2.4,0.41,60.7,0,13.7,50.2,1450
Garware Technical Fibres Ltd,GARFIBRES,509557,GARFIBRES,7685,3870.7,Textiles - Others,Textiles,36.2,5.75,0.68,13.4,-32.7,6.23,2.78,4.52,-6.5,19.7,-16,3801,24,247,9.75,3142.7,-75,0.1,0.13,3.38,0.93,53,0.3,21.2,14,262
Gateway Distriparks Ltd,GATEWAY,543489,GATEWAY,4874,97.54,Transport - Road,Logistics,20.3,3.21,5.04,-1.21,-13.2,2.52,-0.33,-2.33,-7.15,-2.07,0,99.3,13.7,1845,19.8,86.35,-5,0.26,0.48,3.32,-1.97,32.3,0,12.5,-3.57,1922
Gayatri Rubbers and Chemicals Ltd,GRCL,null,GRCL,240,418,Rubber - Products,Plantation & Plantation Products,154,9.84,9.91,69.6,55.7,21.3,3.08,4.76,18.3,74.2,3,399,91.5,null,5.22,94.15,16,0.05,null,null,null,73.4,null,20.5,68.3,2.31
Geecee Ventures Ltd,GEECEE,532764,GEECEE,819,391.75,Construction - Factories / Offices / Commercial,Realty,19.3,7,123,265,-39.7,1.51,2.26,6.02,9.14,54.1,15,393,14.3,22.7,6.38,193.5,68,0,0,0.01,0,67.7,0,6.73,247,30.3
Geekay Wires Ltd,GEEKAYWIRE,null,GEEKAYWIRE,608,116.31,Steel - Medium / Small,Steel,15.1,1.48,0.24,33.1,1.72,5.19,-4.49,19.8,27,39.5,19,116,10.3,44.4,21.3,55.52,83,0.77,1.94,0,0,59.3,0,29,23.4,72.6
Gem Enviro Management Ltd,null,544199,544199,421,186.7,Miscellaneous - Medium / Small,Miscellaneous,37.3,12.5,null,null,-26.4,9.29,-3.64,-14.1,null,null,null,205,27.1,0.3,42.4,149.62,null,0,0,null,null,73.4,null,44.9,null,0.3
General Insurance Corporation of India,GICRE,540755,GICRE,69299,395,General Insurance,Insurance,9.75,1.59,3.77,-2.02,-56.1,1.2,-1.9,2.78,0.33,18.4,20,404,5.4,null,15.6,221.2,91,0,null,-0.12,0.28,85.8,0,9.12,1.25,null
Generic Engineering Construction & Projects Ltd,GENCON,539407,GENCON,271,47.49,Construction - Factories / Offices / Commercial,Construction,24.2,0.94,5.86,-20.9,73.2,1,1.98,-6.52,16.3,17.3,-7,48.7,10.3,63.9,33.1,37.95,-36,0.26,0.23,0,-3.22,43.3,0,6.4,-39,85.6
Genesys International Corporation Ltd,GENESYS,506109,GENESYS,3149,794.4,Computers - Software - Medium / Small,IT - Software,96.1,14.4,26.6,331,-64.2,6.46,-1.74,11.6,54.5,35.1,5,780,30.9,194,7.18,306.6,28,0.12,0.05,0.06,4.43,37.9,-1.83,7.49,235,156
Gennex Laboratories Ltd,null,531739,531739,577,25.39,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals,43,7.8,13.3,110,6.11,3.38,25.1,59.5,51.6,50.8,12,19.5,27,14.1,0,7.77,50,0.01,0.18,0,0,18.4,-4.96,9.18,91.5,15.8
Gensol Engineering Ltd,GENSOL,542851,GENSOL,3444,909.45,Engineering - Turnkey Services,Infrastructure Developers & Operators,50,3.09,153,147,-23.4,10.6,-1.01,-4.22,-14,19.4,0,935,15.7,6.55,34,628.88,0,4.63,0.29,-0.66,0.04,62.8,-1.91,7.68,139,723
Genus Paper & Boards Ltd,GENUSPAPER,538961,GENUSPAPER,673,26.16,Paper - Large,Paper,90.2,0.9,3.33,142,502,1.42,0.65,4.68,20.2,33.8,0,26.2,14.5,199,11.9,18.4,-1,0.7,0.17,0,0.02,50.5,0.01,4.06,138,608
Genus Power Infrastructures Ltd,GENUSPOWER,530343,GENUSPOWER,12578,413.95,Electronics - Others,Consumer Durables,112,9.3,53.4,214,65.6,7.99,0.04,6.51,28.7,84,14,429,47.5,163,13.1,224.05,67,0.37,0.23,-0.54,15.2,42.7,-7.76,8.82,183,193
Geojit Financial Services Ltd,GEOJITFSL,532285,GEOJITFSL,4044,169.09,Securities/Commodities Trading Services,Stock/ Commodity Brokers,24,5.9,53.2,73.8,-10.4,4.86,6.55,65.3,64.8,161,10,142,11.6,73.2,3.27,51.85,47,0.48,0.02,0.02,1.78,54.6,-0.01,16.7,85.8,112
Gillette India Ltd,GILLETTE,507815,GILLETTE,28949,8884.05,Personal Care - Multinational,FMCG,70.5,11,6.3,15.7,17,29.8,-2.52,13.1,15.2,36.4,11,8824,43.6,296,6.43,6085.5,6,0,0,0.79,1.19,75,0,58.8,18.8,389
Ginni Filaments Ltd,GINNIFILA,590025,GINNIFILA,269,31.38,Textiles - Cotton Yarn - 100% EOUs,Textiles,null,0.55,-19.9,-199,100,1.38,-4.62,3.6,-4.42,0.9,-2,31.2,-6.52,217,30.6,24.8,-14,0.4,0.97,0,0,69.7,0,2.99,-17.3,125
Giriraj Civil Developers Ltd,GIRIRAJ,null,GIRIRAJ,957,400,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,94.6,7.09,42,124,432,8.46,-1.48,10.5,0.31,-8.84,0,393,54.9,0.65,60.1,232.84,98,0.09,0.61,0,0,51.1,-13.1,12.6,124,8.63
Gland Pharma Ltd,GLAND,543245,GLAND,30734,1865.45,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,42.6,5.25,47.3,-3.22,-25.3,3.52,-1.75,-4.09,1.06,4.22,0,1883,19.8,954,16,1539.95,-5,0.04,0,9.45,4.08,51.8,-6.03,12.7,2.44,3947
GlaxoSmithkline Consumer Healthcare Ltd(Merged),GSKCONS,null,GSKCONS,45137,10732.6,Food And Dairy Products - Multinational,FMCG,39,9.06,6.59,27.2,-19.9,10.9,null,null,null,null,null,9370,24,481,4.99,7025,null,0,0,-0.76,-0.1,72.5,0,37.9,16.1,462
Glaxosmithkline Pharmaceuticals Ltd,GLAXO,500660,GLAXO,47923,2828.9,Pharmaceuticals - Multinational,Pharmaceuticals,62.2,13.7,7.31,2.56,-6.25,26.9,-0.85,-2.65,6.56,46.8,9,2857,50.3,386,8.39,1412.7,44,0.01,0.02,-2.73,1.61,75,0,53.5,24.4,320
Glenmark Life Sciences Ltd,GLS,543322,GLS,16062,1310.9,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,35.9,7,1.91,-9.51,13.8,6.9,8.79,34.3,53.6,77.3,0,1119,23.7,573,1.81,619.35,6,0.01,0,1,1.54,82.8,0,26.9,-9.64,805
Glenmark Pharmaceuticals Ltd,GLENMARK,532296,GLENMARK,49142,1741.45,Pharmaceuticals - Indian - Bulk Drugs & Formln Lrg,Pharmaceuticals,null,4.14,-1.18,-473,128,6.26,2.19,11.2,40.8,88,17,1704,30.4,5129,1.59,751.35,76,0.16,0.71,4.81,-4.53,46.6,0,15.1,26.3,4210
Global Education Ltd,GLOBAL,null,GLOBAL,405,198.68,Miscellaneous - Medium / Small,Education,12.4,5.42,15.6,17,34.7,4.21,2.4,15.6,0.8,-14.1,-4,200,8.51,2.64,48.1,169,-20,0,0,0,0,70.9,-2.22,44.6,19.5,11.9
Global Health Ltd,MEDANTA,543654,MEDANTA,30386,1131.5,Hospitals / Medical Services,Healthcare,82,13,14.4,27.5,4.38,10.7,2.64,0.51,-16.6,0.95,6,1111,47.8,851,25.3,690,40,0.09,0.15,-0.23,2.36,33,-0.03,16.4,30,841
Global Offshore Services Ltd,null,501848,501848,208,81.77,Shipping - medium / small,Shipping,null,6.54,-27.4,-87.5,-104,2.4,2.29,-5.94,36.3,85.2,2,85.8,3.57,522,20,34.5,13,0.45,-2.55,-3.06,-1.69,32.5,-0.81,-6.93,91.7,120
Global Surfaces Ltd,GSLSU,543829,GSLSU,973,229.62,Granite & Marble - Large,Miscellaneous,63.6,3.96,48.2,-13.8,-112,3.47,-2.64,35.4,3.5,-2.08,-2,211,27.8,53.5,31,173.75,-22,0.44,0.39,0,-2.97,73.4,0,6.26,1.87,294
Global Vectra Helicorp Ltd,GLOBALVECT,532773,GLOBALVECT,413,295.1,Transport - Airlines,Air Transport Service,null,0.79,22.4,58.4,-202,18.9,-2.3,12.4,32.8,166,18,274,9.18,440,11.2,77,72,23.7,7.13,0,0,75,0,6.52,-8029,483
Globus Spirits Ltd,GLOBUSSPR,533104,GLOBUSSPR,3799,1316.1,Breweries,Alcoholic Beverages,51.6,1.53,54.1,-60.3,19062,3.89,20.7,54,64.8,79.6,0,1052,23.9,569,1.82,698.4,0,0.34,0.31,-7.82,-0.01,50.9,-0.11,8.98,-77.2,960
Gloster Ltd,GLOSTERLTD,542351,GLOSTERLTD,843,770.5,Textiles - Jute - Yarn / Products,Textiles,104,1.36,-10.5,-82.9,-210,0.76,-2.83,1.14,-8.62,-9.07,-3,797,15.4,709,22.8,732.85,-18,0.17,0.02,-0.07,0,72.6,0,3.08,-70.4,893
Go Digit General Insurance Ltd,GODIGIT,544179,GODIGIT,34184,371.25,General Insurance,Insurance,152,3.95,null,null,92.4,9.01,-4.02,6.12,9.53,null,null,376,153,null,8.87,300.35,null,0,null,null,null,73.6,null,0,null,null
Go Fashion (India) Ltd,GOCOLORS,543401,GOCOLORS,6770,1253.5,Retailing,Textiles,79.3,8.54,15.3,0.59,120,11.2,10.1,11.5,18,22.4,-11,1178,26.4,260,10.4,975.2,-53,0.78,0.82,-0.55,1.67,52.8,0,13.9,0.89,527
Goa Carbon Ltd,GOACARBON,509567,GOACARBON,716,782.8,Petrochemicals - Others,Petrochemicals,9.43,0.89,-48,-3.8,-68.2,2.89,1.56,10.8,-0.08,8.84,7,786,6.54,24.4,22.4,509.05,4,1.35,0.41,0.01,0.08,59.7,0,24,-2.83,27.3
Godawari Power & Ispat Ltd,GPIL,532734,GPIL,12832,943.9,Steel - Large,Steel,12.9,2.35,1.11,42.3,31.1,2.85,3.58,-4.52,-12.5,35.7,15,939,7.82,2013,22.9,595,68,0.01,0.43,0.81,3.85,63.3,-4.41,28.9,43.1,2362
Godfrey Phillips India Ltd,GODFRYPHLP,500163,GODFRYPHLP,42819,8235.45,Cigarettes,Tobacco Products,47.6,9.56,19.6,-2.44,13.5,9.96,20.3,81.6,101,180,6,6405,36.5,1025,2.88,2033.9,30,0.08,0.15,0.41,0.78,72.6,0,21,5.61,859
Godrej Agrovet Ltd,GODREJAGRO,540743,GODREJAGRO,15472,804.75,Food - Processing - Others,Miscellaneous,39.6,1.65,0.19,21.9,101,6.14,4.8,1.11,37.1,57.6,2,795,20.3,2281,8.21,464.1,11,0.56,0.42,-1.1,7.93,74,-0.02,14.6,23,2739
Godrej Consumer Products Ltd,GODREJCP,532424,GODREJCP,148969,1456.35,Personal Care - Indian - Large,FMCG,85.2,10.7,2.55,-126,124,11.8,-2.39,3.65,4.55,20.1,1,1463,175,8905,5.55,974.1,2,0.26,0.2,1.92,-1.11,63,-0.21,18.8,21.2,10430
Godrej Industries Ltd,GODREJIND,500164,GODREJIND,41146,1221.85,Chemicals - Organic - Large,Chemicals,201,2.52,-5.1,-35,2629,5.13,0.75,34.9,48,60.8,12,1094,19.9,4007,7.01,562.25,55,3.62,0.75,3.18,8.03,67.2,-0.01,6.25,26.9,5982
Godrej Properties Ltd,GODREJPROP,533150,GODREJPROP,78926,2838.5,Construction - Factories / Offices / Commercial,Realty,70.4,27.8,-3.57,59.2,8.53,7.91,-1.2,-3.46,-5.34,28,12,2892,51.6,151,16.6,1563.45,57,1.07,0.55,1.33,1.06,58.5,-0.01,5.57,88.5,967
Gokaldas Exports Ltd,GOKEX,532630,GOKEX,6644,930.45,Textiles - Readymade Apparel,Readymade Garments/ Apparells,52.9,2.38,31.5,-24.1,-38.6,3.51,2.37,3.28,14.5,27,0,929,24.3,237,17.5,726.95,-2,0.62,1.65,3.53,10.3,9.42,-1.64,9.32,-20.4,1136
Gokul Agro Resources Ltd,GOKULAGRO,539725,GOKULAGRO,4341,294.25,Solvent Extraction - Large,Edible Oil,26.3,0.28,47.7,28.9,19.6,5.52,12,38.8,86.1,178,3,262,11.3,233,12.9,105.1,18,0.77,0.58,0,0.77,73.7,1.11,21.2,26,742
Gokul Refoils and Solvent Ltd,GOKUL,532980,GOKUL,552,55.71,Solvent Extraction - Medium / Small,Edible Oil,56.8,6.59,1025,-588,-59.3,2.65,1.66,26.2,34.1,43.2,0,51.4,-52.6,0.59,14.2,34.35,5,0,0,0,0.14,74.6,2.83,3.4,227,0.22
Goldiam International Ltd,GOLDIAM,526729,GOLDIAM,3993,373.85,Diamond Cutting / Jewellery - Medium / Small,"Diamond, Gems and Jewellery",41.7,6.15,25.3,17.9,24.1,6.34,8.21,60.5,126,116,1,322,28.8,41.1,6.54,127.4,7,0.01,0.05,0,0.12,64.3,-2.14,19.2,21.1,45.1
Goldkart Jewels Ltd,GOLDKART,null,GOLDKART,274,163.2,Trading - Medium / Small,Trading,281,4.02,16.8,-35.8,493,7.66,6.15,-1.57,72.3,91.5,20,150,86.7,0.11,6.21,61.1,3,0.4,0.67,0,0,74.1,0.95,6.18,-22.9,0.38
Goldstar Power Ltd,GOLDSTAR,null,GOLDSTAR,296,12.3,Auto Ancillaries - Batteries,Auto Ancillaries,72.4,5.9,0.4,13.7,-12.8,10.5,-0.81,17.1,-15.5,-20.1,0,12.5,35.5,11.8,47.3,9.3,0,0.65,0.44,0,0,72.9,0,15.8,7.12,15.2
Goodluck India Ltd,GOODLUCK,530655,GOODLUCK,4227,1291.25,Steel - Medium / Small,Steel,30.4,1.19,14.8,46.9,-3.28,3.69,5,43.4,41,54.2,24,1116,14.6,325,1.13,587.95,87,0.53,1.31,1.81,3.89,55.8,-2.95,14.7,42.9,522
Goodricke Group Ltd,null,500166,500166,540,249.9,Tea - Indian - Large,Plantation & Plantation Products,null,0.63,0.35,-618,116,2.23,0.5,14.7,30.9,48.8,-38,247,-30.8,313,5.7,168.1,-124,0.52,0.23,0,0,74,0,-14.8,-624,326
Goodyear India Ltd,GOODYEAR,500168,GOODYEAR,2703,1171.85,Tyres - Large,Tyres,33.5,1.07,-10.8,-35,695,4.67,1.65,1.11,-0.89,-1.28,-8,1171,15.3,312,18.6,1135,-31,0.01,0.02,0.49,-0.18,74,0,22.5,-35.1,364
Gopal Snacks Ltd,GOPAL,544140,GOPAL,4222,338.8,Food - Processing - Others,FMCG,44.2,2.96,null,null,-6.93,10.8,3.78,1.16,4.58,-10.6,null,336,25.7,175,13.8,316,null,0.17,1.04,null,null,81.5,null,28.7,null,229
Gourmet Gateway Ltd,null,506134,506134,249,18.58,Hotels - Resorts,Hotels & Restaurants,null,70.3,462,-106,21.4,4.88,-14.5,-41.5,-61.2,-51.9,0,24.8,208,0,67.3,17.7,-2,0.07,0,0,0.58,48.2,-1.36,6.92,-105,0
Goyal Salt Ltd,GOYALSALT,null,GOYALSALT,343,191.55,Food - Processing - Others,FMCG,36.3,2.91,0,167,192,8.12,14.6,8.22,3.62,20.5,null,179,25.5,4.86,23.1,136.5,null,0.13,0.59,null,null,72.6,null,26.7,128,5.69
Granules India Ltd,GRANULES,532482,GRANULES,13328,549.9,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S,Pharmaceuticals,27.1,2.85,4.62,12.6,3.86,4.13,-17.5,-17,19.1,31.3,9,670,14.6,1332,23.7,327.45,20,0.41,0.35,7.44,-0.96,38.9,-3.15,14.4,12.9,2096
Graphite India Ltd,GRAPHITE,509488,GRAPHITE,10605,542.8,Electrodes - Graphites,Capital Goods-Non Electrical Equipment,34.8,3.62,-5.08,644,1375,1.89,8.97,2.64,-5.11,-11.8,-1,520,7.24,640,23.5,460.75,-9,0.03,0.05,2.91,0.34,65.3,0,17.9,30.6,948
Grasim Industries Ltd,GRASIM,500300,GRASIM,182089,2765.3,Textiles - Acrylic Fibre,Textiles,32.4,1.36,10.9,-11.7,-16.7,2.05,2.03,6.34,11.9,25.9,7,2717,11.3,85008,3.91,1862.59,19,1.55,0.77,1.72,4.41,43.1,0.31,7.44,-4.03,100480
Grauer & Weil (India) Ltd,GRAUWEIL,505710,GRAUWEIL,4550,100.35,Chemicals - Speciality - Large,Chemicals,28.4,4.02,15.3,32.2,73.8,5.64,-0.5,7.3,8.04,22.4,24,103,17.4,238,10.7,57.95,108,0.03,0.04,0,-0.3,69,0,23.8,32.7,243
Graviss Hospitality Ltd,null,509546,509546,426,60.47,Hotels - Small,Hotels & Restaurants,209,7.9,-14.4,-58.4,-169,2.33,8.51,30.7,47.7,43.6,0,55.3,54.2,164,6.97,40.5,-2,0.02,0.08,0,0,74.9,0,2.1,-63.4,182
Gravita India Ltd,GRAVITA,533282,GRAVITA,17848,2585.25,Metal - Others,Non Ferrous Metals,70.1,5.3,15.1,21.7,-2.05,21.4,18,16.6,98.1,221,49,2245,48.4,172,2.81,804.05,185,0.65,0.94,2.22,4.08,63.4,-3.11,23.3,20.5,348
Great Eastern Shipping Company Ltd,GESHIP,500620,GESHIP,17997,1260.55,Shipping - Large,Shipping,6.3,3.28,-2.28,5.79,-10.3,1.45,-1.03,-8.66,3.68,26.5,26,1310,4.09,9042,18.3,762.3,115,0.25,0.66,1.26,-1.66,30.1,0,18.8,8.76,8329
Greaves Cotton Ltd,GREAVESCOT,501455,GREAVESCOT,4388,188.74,Engines,Capital Goods-Non Electrical Equipment,23.7,1.62,3.68,-1283,98.8,3.04,7.53,13.7,41.3,45,-21,173,-27.8,372,1,123.6,-95,0.06,0.03,0.11,-3.79,55.9,0.01,4.57,-5.16,825
Greenlam Industries Ltd,GREENLAM,538979,GREENLAM,6872,538.65,Laminates,Plywood Boards/Laminates,54.7,2.87,15.7,-8.76,-51.2,6.38,-1.89,-7.07,-11.7,16.4,-2,559,25.3,413,18.6,409.5,-11,1.03,0.54,0,0.31,51,-0.23,10.5,-4,986
Greenpanel Industries Ltd,GREENPANEL,542857,GREENPANEL,4771,389.1,Decoratives - Wood-based,Plywood Boards/Laminates,33.3,3.04,-12.1,-44.4,-13.9,3.64,-0.65,10.2,21.2,21.9,-7,389,18.2,1074,13.5,295,-30,0.22,0.66,5.21,-2.18,53.1,0.03,12.1,-47,982
